code,date,value,description
CKTCEUS,199303,155.984,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199304,140.003,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199305,140.412,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199306,156.847,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199307,177.628,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199308,176.601,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199309,152.644,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199310,152.178,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199311,153.301,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199312,166.976,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199313,1882.647,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199401,175.836,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199402,152.751,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199403,154.666,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199404,140.753,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199405,146.958,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199406,166.787,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199407,174.02,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199408,172.308,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199409,153.561,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199410,150.604,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199411,145.674,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199412,159.32,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199413,1893.24,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199501,164.841,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199502,149.245,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199503,149.251,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199504,138.254,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199505,145.774,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199506,158.285,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199507,179.738,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199508,188.352,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199509,158.768,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199510,153.928,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199511,156.763,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199512,169.915,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199513,1913.115,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199601,175.755,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199602,159.414,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199603,159.852,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199604,144.574,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199605,154.461,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199606,166.472,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199607,180.596,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199608,181.956,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199609,163.314,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199610,163.637,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199611,168.275,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199612,177.176,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199613,1995.483,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199701,183.53,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199702,156.328,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
